"tlx_mental","overallTiATrust","study","overallTiAUnderstanding","perceivedSafetyCombined","Demand","Supply","Understanding","SA"
16,3.5,"trajectory-pre",3.5,1.25,18,18,10,10
15,2,"trajectory-pre",2.25,0.25,18,19,10,11
6,1,"trajectory-pre",2.75,-0.5,13,14,8,9
3,4,"trajectory-pre",4.5,3,18,13,10,5
14,2,"trajectory-pre",1.5,3,16,10,7,1
9,3,"trajectory-pre",4.25,1,18,26,10,18
14,5,"trajectory-pre",4,3,8,14,18,24
10,3,"trajectory-pre",2.5,1.5,13,15,13,15
10,3,"trajectory-pre",3.25,2,16,14,12,10
15,4.5,"trajectory-pre",3.5,3,15,14,13,12
15,2,"trajectory-pre",3,-1.25,14,22,15,23
5,3,"trajectory-pre",3.75,0.75,13,15,11,13
15,2,"trajectory-pre",2.5,-1,19,22,8,11
8,5,"trajectory-pre",3.75,3,10,17,18,25
4,5,"trajectory-pre",4.25,3,15,19,14,18
8,3.5,"trajectory-pre",3,0.75,13,13,11,11
8,3,"trajectory-pre",3.5,2.75,8,18,9,19
5,3,"trajectory-pre",2.75,2,10,14,12,16
12,4,"trajectory-pre",3.25,0.75,12,21,16,25
4,2.5,"trajectory-pre",2.75,1.75,12,21,6,15
11,4,"trajectory-pre",3,1.25,15,19,17,21
8,2,"trajectory-pre",3.25,1.5,16,14,13,11
5,3.5,"trajectory-pre",4,2,14,17,9,12
1,4,"trajectory-pre",3,1,3,10,3,10
5,5,"trajectory-pre",5,-3,8,7,14,13
6,3,"trajectory-pre",2.75,1,17,20,11,14
10,3.5,"trajectory-pre",4,3,12,18,12,18
10,4,"trajectory-pre",4,-2,12,17,11,16
5,1.5,"trajectory-pre",3.75,0.75,20,17,8,5
10,2,"trajectory-pre",3.25,-0.75,14,20,10,16
6,4,"trajectory-pre",4,1.5,9,17,16,24
13,4,"trajectory-pre",3.5,0.25,19,19,13,13
12,3.5,"trajectory-pre",2.75,1.75,16,19,13,16
17,3.5,"trajectory-pre",3.5,0,13,23,14,24
6,2.5,"trajectory-pre",2.25,-0.75,15,21,13,19
15,1,"trajectory-pre",1.75,-2.25,17,22,5,10
9,4,"trajectory-pre",4,2,12,17,12,17
18,4,"trajectory-pre",3,3,17,22,18,23
3,3.66666666666667,"How",NA,6.25,NA,NA,NA,NA
2,2.52380952380952,"How",NA,6.5,NA,NA,NA,NA
1,4.80952380952381,"How",NA,7,NA,NA,NA,NA
2,4.80952380952381,"How",NA,7,NA,NA,NA,NA
7,4.61904761904762,"How",NA,7,NA,NA,NA,NA
8,4.14285714285714,"How",NA,4.75,NA,NA,NA,NA
4,4.42857142857143,"How",NA,6.25,NA,NA,NA,NA
6,1.85714285714286,"How",NA,3.5,NA,NA,NA,NA
4,4.33333333333333,"How",NA,6.5,NA,NA,NA,NA
3,4.23809523809524,"How",NA,6.75,NA,NA,NA,NA
2,3.19047619047619,"How",NA,7,NA,NA,NA,NA
3,3.38095238095238,"How",NA,7,NA,NA,NA,NA
2,3.85714285714286,"How",NA,4.75,NA,NA,NA,NA
4,3.66666666666667,"How",NA,7,NA,NA,NA,NA
2,2.90476190476191,"How",NA,5,NA,NA,NA,NA
1,3.28571428571429,"How",NA,6.75,NA,NA,NA,NA
2,3.66666666666667,"How",NA,4.5,NA,NA,NA,NA
2,3.19047619047619,"How",NA,7,NA,NA,NA,NA
2,3.38095238095238,"How",NA,5,NA,NA,NA,NA
4,2.80952380952381,"How",NA,2.75,NA,NA,NA,NA
10,1.28571428571429,"How",NA,1.5,NA,NA,NA,NA
6,2.61904761904762,"How",NA,6.25,NA,NA,NA,NA
4,4.33333333333333,"How",NA,6.25,NA,NA,NA,NA
1,5,"How",NA,7,NA,NA,NA,NA
6,3.19047619047619,"How",NA,5.5,NA,NA,NA,NA
1,4.04761904761905,"How",NA,5.75,NA,NA,NA,NA
13,1.19047619047619,"How",NA,1.5,NA,NA,NA,NA
1,4.42857142857143,"How",NA,6,NA,NA,NA,NA
1,4.52380952380952,"How",NA,5.75,NA,NA,NA,NA
1,4.04761904761905,"How",NA,6,NA,NA,NA,NA
16,4.90476190476191,"How",NA,7,NA,NA,NA,NA
3,4.90476190476191,"How",NA,6.75,NA,NA,NA,NA
3,5,"How",NA,7,NA,NA,NA,NA
5,5,"How",NA,7,NA,NA,NA,NA
1,4.80952380952381,"How",NA,5.75,NA,NA,NA,NA
2,2.80952380952381,"How",NA,6.25,NA,NA,NA,NA
2,3,"How",NA,6.5,NA,NA,NA,NA
14,2.80952380952381,"How",NA,6.75,NA,NA,NA,NA
1,1.57142857142857,"How",NA,4,NA,NA,NA,NA
4,3.66666666666667,"How",NA,6.5,NA,NA,NA,NA
2,3.38095238095238,"How",NA,5.75,NA,NA,NA,NA
13,4.23809523809524,"How",NA,6,NA,NA,NA,NA
16,3.66666666666667,"How",NA,5.25,NA,NA,NA,NA
19,3.28571428571429,"How",NA,2.75,NA,NA,NA,NA
2,3.76190476190476,"How",NA,6,NA,NA,NA,NA
14,2.61904761904762,"How",NA,2.75,NA,NA,NA,NA
8,4.80952380952381,"How",NA,6,NA,NA,NA,NA
5,4.42857142857143,"How",NA,6.5,NA,NA,NA,NA
7,4.61904761904762,"How",NA,6,NA,NA,NA,NA
4,4.71428571428571,"How",NA,6,NA,NA,NA,NA
4,4.61904761904762,"How",NA,7,NA,NA,NA,NA
4,5,"How",NA,7,NA,NA,NA,NA
4,4.90476190476191,"How",NA,7,NA,NA,NA,NA
5,5,"How",NA,7,NA,NA,NA,NA
4,5,"How",NA,7,NA,NA,NA,NA
7,3.76190476190476,"How",NA,3.5,NA,NA,NA,NA
7,2.04761904761905,"How",NA,2.5,NA,NA,NA,NA
12,1.28571428571429,"How",NA,1.5,NA,NA,NA,NA
10,1.85714285714286,"How",NA,2.75,NA,NA,NA,NA
10,1.85714285714286,"How",NA,2.75,NA,NA,NA,NA
2,3.38095238095238,"How",NA,6,NA,NA,NA,NA
3,2.61904761904762,"How",NA,3.25,NA,NA,NA,NA
5,3.28571428571429,"How",NA,4.25,NA,NA,NA,NA
2,1.57142857142857,"How",NA,1.5,NA,NA,NA,NA
3,5,"How",NA,6.5,NA,NA,NA,NA
4,4.04761904761905,"How",NA,6,NA,NA,NA,NA
5,3.76190476190476,"How",NA,5.75,NA,NA,NA,NA
5,4.04761904761905,"How",NA,6,NA,NA,NA,NA
5,4.04761904761905,"How",NA,6,NA,NA,NA,NA
5,3,"How",NA,3.5,NA,NA,NA,NA
5,4.52380952380952,"How",NA,6,NA,NA,NA,NA
5,5,"How",NA,7,NA,NA,NA,NA
5,5,"How",NA,6,NA,NA,NA,NA
5,5,"How",NA,7,NA,NA,NA,NA
2,5,"How",NA,7,NA,NA,NA,NA
4,5,"How",NA,7,NA,NA,NA,NA
3,5,"How",NA,7,NA,NA,NA,NA
4,5,"How",NA,7,NA,NA,NA,NA
4,5,"How",NA,7,NA,NA,NA,NA
4,5,"How",NA,7,NA,NA,NA,NA
4,3.28571428571429,"How",NA,6,NA,NA,NA,NA
2,3.47619047619048,"How",NA,7,NA,NA,NA,NA
6,2.80952380952381,"How",NA,5,NA,NA,NA,NA
3,3.47619047619048,"How",NA,6.25,NA,NA,NA,NA
5,3.0952380952381,"How",NA,4.75,NA,NA,NA,NA
3,4.04761904761905,"How",NA,6.25,NA,NA,NA,NA
5,3.28571428571429,"How",NA,3.75,NA,NA,NA,NA
7,3.47619047619048,"How",NA,3.75,NA,NA,NA,NA
3,1.76190476190476,"How",NA,1.75,NA,NA,NA,NA
3,3.47619047619048,"How",NA,5.5,NA,NA,NA,NA
3,4.61904761904762,"How",NA,7,NA,NA,NA,NA
3,3.76190476190476,"How",NA,7,NA,NA,NA,NA
3,4.33333333333333,"How",NA,7,NA,NA,NA,NA
9,3.19047619047619,"How",NA,6,NA,NA,NA,NA
7,3.28571428571429,"How",NA,6,NA,NA,NA,NA
4,3.19047619047619,"How",NA,5.25,NA,NA,NA,NA
1,4.52380952380952,"How",NA,6.25,NA,NA,NA,NA
1,4.42857142857143,"How",NA,6.25,NA,NA,NA,NA
1,4.61904761904762,"How",NA,7,NA,NA,NA,NA
1,4.42857142857143,"How",NA,7,NA,NA,NA,NA
14,4.5,"trajectory",4,2.75,9,15,19,25
2,2,"trajectory",3,-1,13,13,12,12
6,5,"trajectory",5,3,16,12,12,8
12,4,"trajectory",4,1.25,10,17,15,22
18,4,"trajectory",3.75,2,16,18,16,18
19,4.5,"trajectory",4.75,2.5,18,24,15,21
11,4,"trajectory",4.25,0.75,6,11,10,15
12,4,"trajectory",3,1.25,15,24,16,25
7,3.5,"trajectory",2.75,-1,11,21,7,17
13,3,"trajectory",4.25,-1,13,11,16,14
5,4.5,"trajectory",4.25,1.5,16,16,14,14
3,4,"trajectory",3.5,1.5,15,22,20,27
19,4,"trajectory",4,3,17,25,18,26
5,3,"trajectory",4,-0.75,12,20,14,22
4,4,"trajectory",3.75,1.75,18,19,13,14
17,5,"trajectory",5,3,3,22,20,39
6,4,"trajectory",4.5,-0.5,11,21,15,25
13,4,"trajectory",4,1,4,24,19,39
17,4,"trajectory",4,3,11,21,19,29
7,2,"trajectory",4,-2,18,20,15,17
4,2.5,"trajectory",3.75,2.5,14,16,14,16
